locationNumber,name,yiddishName,region
49256,Chodaczkówmaly,Xodátškif,G - Eastern Galicia
49259,Zbaraż,Zbárəš,G - Eastern Galicia
49261,Satanov,Sótənəf,V - Northern Ukraine
49262,Gorodok,Gréjding,V - Northern Ukraine
49263,Chemerovtsy,Čimérovic,V - Northern Ukraine
49264,Volochisk,Voləčísk,V - Northern Ukraine
49266,Krasilov,Krisílif,V - Northern Ukraine
49267,Łanowce,Lónəvic,V - Northern Ukraine
49271,Zin’kov,Zínkəv,V - Northern Ukraine
49272,Bar,Bar,V - Northern Ukraine
49275,Staraya Sinyava (staraya ’old’),Oltsinjóvi (old ’old’),V - Northern Ukraine
49276,Letichev,Létičəf,V - Northern Ukraine
49278,Ladyh,Ladí,V - Northern Ukraine
49279,Lyubar,Lúbər,V - Northern Ukraine
49282,Vinnitsa,Vínəcə,V - Northern Ukraine
49285,Kalinovka,Kalénəfkə,V - Northern Ukraine
49286,Vakhnovka,Váxnəfkə,V - Northern Ukraine
49287,Yanushpol,Janəšpóljə,V - Northern Ukraine
49288,Berdichev,Bárdičef,V - Northern Ukraine
49289,Belopol’ye,Biləpíljə,V - Northern Ukraine
49291,Il’intsy,Ílənist,V - Northern Ukraine
49293,Monastyrishche,Monəstríč,V - Northern Ukraine
49296,Volodarka,Velóderkə,V - Northern Ukraine
49298,Pavoloch’,Pávəlič,V - Northern Ukraine
49303,Zvenigorodka,Zvinərótkə,V - Northern Ukraine
49304,Stavishche,Stavíšč,V - Northern Ukraine
49305,Tarashcha,Taráščə ,V - Northern Ukraine
49307,Belaya tserkov’ (belaya ’white tserkov’ ’church’),Švarctímə (švarc ’black’ tímə ’church’),V - Northern Ukraine
49312,Shpola,Špólə,V - Northern Ukraine
49317,Rzhishchev,Režiščəv,V - Northern Ukraine
49324,Cherkassy,Čerkás,V - Northern Ukraine
49338,Mirgorod,Mírgorod,V - Northern Ukraine
50062,Kyllburg ,,"W - Austria, Czechoslovakia, Germany, Holland"
50067,Eschweiler ,,"W - Austria, Czechoslovakia, Germany, Holland"
50069,Köln ,,"W - Austria, Czechoslovakia, Germany, Holland"
50075,Vallendar ,,"W - Austria, Czechoslovakia, Germany, Holland"
50077,Bonn ,,"W - Austria, Czechoslovakia, Germany, Holland"
50082,Frankfurt am Main ,,"W - Austria, Czechoslovakia, Germany, Holland"
50083,Staden,,"W - Austria, Czechoslovakia, Germany, Holland"
50084,Hadamar ,,"W - Austria, Czechoslovakia, Germany, Holland"
50085,Wetzlar ,,"W - Austria, Czechoslovakia, Germany, Holland"
50088,Laasphe ,,"W - Austria, Czechoslovakia, Germany, Holland"
50091,Alzenau ,,"W - Austria, Czechoslovakia, Germany, Holland"
50093,Ober Thulba,,"W - Austria, Czechoslovakia, Germany, Holland"
50094,Nieder Ohmen,,"W - Austria, Czechoslovakia, Germany, Holland"
50095,Hintersteinau,,"W - Austria, Czechoslovakia, Germany, Holland"
50097,Frielendorf ,,"W - Austria, Czechoslovakia, Germany, Holland"
50102,Ermershausen ,,"W - Austria, Czechoslovakia, Germany, Holland"
50103,Reckendorf ,,"W - Austria, Czechoslovakia, Germany, Holland"
50104,Mellrichstadt ,,"W - Austria, Czechoslovakia, Germany, Holland"
50107,Eisenach ,,"W - Austria, Czechoslovakia, Germany, Holland"
50136,Sobědruhy (Soborten),,"W - Austria, Czechoslovakia, Germany, Holland"
50142,Praha (Prag) ,,"W - Austria, Czechoslovakia, Germany, Holland"
50144,Litoměřice (Leitmeritz),,"W - Austria, Czechoslovakia, Germany, Holland"
50154,Jablonec (Gablonz),,"W - Austria, Czechoslovakia, Germany, Holland"
50156,Trutnov (Trautenau) ,,"W - Austria, Czechoslovakia, Germany, Holland"
50177,Wansen,,"W - Austria, Czechoslovakia, Germany, Holland"
50183,Zabrze ,,"W - Austria, Czechoslovakia, Germany, Holland"
50186,Beuthen,,"W - Austria, Czechoslovakia, Germany, Holland"
50190,Oświęcim,Ošpicín,H - Western Galicia
50191,Katowice (Kattowitz),Kátəvic ,"W - Austria, Czechoslovakia, Germany, Holland"
50192,Sosnowiec,Sosnéfcə,H - Western Galicia
50193,Kraków,Krúkə,H - Western Galicia
50196,Wolbrom,Vólbrəm,P - (Northern) Poland
50197,Częstochowa,Čénstəxəf,P - (Northern) Poland
50199,Szczekociny,Štikičín,P - (Northern) Poland
50201,Proszowice,Próšəvic,P - (Northern) Poland
50202,Żabno,Zábnə,H - Western Galicia
50204,Jędrzejów,Jéndzəf,P - (Northern) Poland
50205,Pińczów,Pínčəf,P - (Northern) Poland
50206,Chmielnik ,Xmélnik,P - (Northern) Poland
50212,Dębica ,Démbic,P - (Northern) Poland
50213,Sędziszów ,Šéndəšəf ,H - Western Galicia
50216,Gorzyce ,Góržic,P - (Northern) Poland
50218,Ostrowiec,Óstrəfcə,P - (Northern) Poland
50221,Rzeszów ,Rájšə,H - Western Galicia
50222,Sieniawa ,Šínjəvə,P - (Northern) Poland
50224,Rozwadów,Rózvədəf,P - (Northern) Poland
50225,Biłgoraj ,Bílgra,P - (Northern) Poland
50227,Zaklików ,Záklkəf,P - (Northern) Poland
50229,Szczebrzeszyn ,Šabəšín,P - (Northern) Poland
50231,Cieszanów ,Čéšənəf,G - Eastern Galicia
50235,Tomaszów Lubelski ,Tóməšəf,P - (Northern) Poland
50236,Uhnów,Hívnəf,P - (Northern) Poland
50237,Zamość ,Zámišč,P - (Northern) Poland
50239,Hrubieszów,Ribəšój,P - (Northern) Poland
50242,Dobrotwór,Dobrətvór,G - Eastern Galicia
50243,Toporów,Tóprəf,G - Eastern Galicia
50244,Krystynopol,Krisnəpóljə,G - Eastern Galicia
50246,Koniuchy ,Kónjəx,G - Eastern Galicia
50248,Włodzimierz,Lúdmər,G - Eastern Galicia
50251,Brody ,Brot,G - Eastern Galicia
50253,Krzemieniec,Kréminic,G - Eastern Galicia
50257,Łuck,Louck,G - Eastern Galicia
50259,Olyka ,Olík,G - Eastern Galicia
50260,Zaslavl,Zásləv,V - Northern Ukraine
50262,Ostróg,Óstrə,V - Northern Ukraine
50263,Slavuta,Slavítə,V - Northern Ukraine
50264,Rowne,Róvnə,V - Northern Ukraine
50267,Derazhno,Drážnə,V - Northern Ukraine
50268,Tuczyn,Tučín,V - Northern Ukraine
50271,Shepetovka,Šipətífkə,V - Northern Ukraine
50273,Mar’yanovka,Marjánəfkə,V - Northern Ukraine
50275,Novograd-Volynskiy (Zvyhyl),Zvil,V - Northern Ukraine
50280,Zhitomir,Žítomər,V - Northern Ukraine
50281,Chudnov,Čidnív,V - Northern Ukraine
50283,Pryazhev,Pražév,V - Northern Ukraine
50285,Chernyakhov,Čérnjəxəv,V - Northern Ukraine
50294,Korostyshev,Kóršəv,V - Northern Ukraine
50296,Makarov,Məkárəv,V - Northern Ukraine
50297,Malin,Málin,V - Northern Ukraine
50304,Gostomel’,Hastómljə,V - Northern Ukraine
50306,Borispol’,Bəríspoljə,V - Northern Ukraine
50312,Pereyaslav,Perejásləv,V - Northern Ukraine
50329,Dmitriyevka,Dmítrəfkə,V - Northern Ukraine
50334,Lokhvitsa,Lóxvic,V - Northern Ukraine
51062,Glehn,,"W - Austria, Czechoslovakia, Germany, Holland"
51064,Hinsbeck,,"W - Austria, Czechoslovakia, Germany, Holland"
51066,Mülheim an der Ruhr ,,"W - Austria, Czechoslovakia, Germany, Holland"
51067,Goch ,,"W - Austria, Czechoslovakia, Germany, Holland"
51068,Bocholt ,,"W - Austria, Czechoslovakia, Germany, Holland"
51072,Meinerzhagen ,,"W - Austria, Czechoslovakia, Germany, Holland"
51073,Littfeld,,"W - Austria, Czechoslovakia, Germany, Holland"
51075,Lünen ,,"W - Austria, Czechoslovakia, Germany, Holland"
51087,Beckum ,,"W - Austria, Czechoslovakia, Germany, Holland"
51092,Heinebach,,"W - Austria, Czechoslovakia, Germany, Holland"
51093,Abterode,,"W - Austria, Czechoslovakia, Germany, Holland"
51098,Beverungen ,,"W - Austria, Czechoslovakia, Germany, Holland"
51099,Northeim ,,"W - Austria, Czechoslovakia, Germany, Holland"
51112,Apolda ,,"W - Austria, Czechoslovakia, Germany, Holland"
51143,Görlitz ,,"W - Austria, Czechoslovakia, Germany, Holland"
51158,Grünberg,,"W - Austria, Czechoslovakia, Germany, Holland"
51166,Rawitsch,,"W - Austria, Czechoslovakia, Germany, Holland"
51168,Leszno (Lissa) ,,"W - Austria, Czechoslovakia, Germany, Holland"
51170,Kępno (Kempen) ,,"W - Austria, Czechoslovakia, Germany, Holland"
51171,Breslau,,"W - Austria, Czechoslovakia, Germany, Holland"
51173,Namslau,,"W - Austria, Czechoslovakia, Germany, Holland"
51174,Jutroszyn,,"W - Austria, Czechoslovakia, Germany, Holland"
51180,Wieruszów,Vérəšəf,P - (Northern) Poland
51185,Złoczew,Zlóčəf,P - (Northern) Poland
51187,Kalisz,Kúwəš,P - (Northern) Poland
51189,Poddębice ,Podémbic,P - (Northern) Poland
51194,Łask ,Lúisk,P - (Northern) Poland
51195,Bełchatów ,Bélxətəf,P - (Northern) Poland
51196,Piotrków Trybunalski ,Pétrəkəf,P - (Northern) Poland
51198,Łódź ,Loč,P - (Northern) Poland
51199,Brzeziny ,Brežín,P - (Northern) Poland
51202,Końskie ,Kinck,P - (Northern) Poland
51203,Szydłowiec ,Šidlóvcə,P - (Northern) Poland
51207,Skierniewice ,Skérnəvic,P - (Northern) Poland
51209,Grójec ,Grícə,P - (Northern) Poland
51213,Józefów,Jízəfəf,P - (Northern) Poland
51214,Radom ,Rúdim,P - (Northern) Poland
51215,Kozienice ,Kóžənic,P - (Northern) Poland
51217,Warka ,Vúrki,P - (Northern) Poland
51222,Lublin ,Ləblín,P - (Northern) Poland
